	Islands 			Wallace's line							
platysteira_castanea_29120 	1		platysteira_castanea_29120 	2		1 2					
Platysteira_chalybea 	1		Platysteira_chalybea 	2		1 2					
Platysteira_concreta 	1		Platysteira_concreta 	2		1 2					
Platysteira_cyanea 	1		Platysteira_cyanea 	2		1 2					
Platysteira_jamesoni 	1		Platysteira_jamesoni 	2		1 2					
Platysteira_laticincta 	1		Platysteira_laticincta 	2		1 2					
Platysteira_peltata 	1		Platysteira_peltata 	2		1 2					
Platysteira_tonsa 	1		Platysteira_tonsa 	2		1 2					
Batis_poensis 	1		Batis_poensis 	2		1 2					
batis_senegalensis_15403 	1		batis_senegalensis_15403 	2		1 2					
Batis_soror 	1		Batis_soror 	2		1 2					
Platysteira_ansorgei	1		Platysteira_ansorgei	2		1 2					
Platysteira_hormophora	1		Platysteira_hormophora	2		1 2					
prionops_plumatus_26690 	1		prionops_plumatus_26690 	2		1 2					
Prionops_retzii 	1		Prionops_retzii 	2		1 2					
Prionops_scopifrons 	1		Prionops_scopifrons 	2		1 2					
Androphobus_viridis 	1		Androphobus_viridis 	1		1 1					
Psophodes_cristatus 	1		Psophodes_cristatus 	1		1 1					
Psophodes_leucogaster 	1		Psophodes_leucogaster 	1		1 1					
Psophodes_nigrogularis 	1		Psophodes_nigrogularis 	1		1 1					
psophodes_occidentalis_6204 	1		psophodes_occidentalis_6204 	1		1 1					
Psophodes_olivaceus 	1		Psophodes_olivaceus 	1		1 1					
rhagologus_leucostigma_18382 	1		rhagologus_leucostigma_18382 	1		1 1					
chaetorhynchus_papuensis_16414 	1		chaetorhynchus_papuensis_16414 	1		1 1					
Eutrichomyias_rowleyi 	2		Eutrichomyias_rowleyi 	1		2 1					
Rhipidura_fuscorufa 	2		Rhipidura_fuscorufa 	1		2 1					
Rhipidura_verreauxi 	2		Rhipidura_verreauxi 	1		2 1					
Rhipidura_dryas 	0		Rhipidura_dryas 	1		0 1					
Lamprolia_klinesmithi 	2		Lamprolia_klinesmithi 	1		2 1					
lamprolia_victoriae_24329 	2		lamprolia_victoriae_24329 	1		2 1					
Rhipidura_diluta 	2		Rhipidura_diluta 	1		2 1					
Rhipidura_dahli 	2		Rhipidura_dahli 	1		2 1					
Rhipidura_dedemi 	2		Rhipidura_dedemi 	1		2 1					
Rhipidura_fuliginosa 	2		Rhipidura_fuliginosa 	1		2 1					
Rhipidura_albicollis 	1		Rhipidura_albicollis 	2		1 2					
Rhipidura_albiscapa 	0		Rhipidura_albiscapa 	1		0 1					
Rhipidura_albiventris 	2		Rhipidura_albiventris 	2		2 2					
Rhipidura_albolimbata 	1		Rhipidura_albolimbata 	1		1 1					
Rhipidura_atra 	1		Rhipidura_atra 	1		1 1					
Rhipidura_aureola 	1		Rhipidura_aureola 	2		1 2					
Rhipidura_brachyrhyncha 	1		Rhipidura_brachyrhyncha 	1		1 1					
Rhipidura_cockerelli 	2		Rhipidura_cockerelli 	1		2 1					
Rhipidura_cyaniceps 	2		Rhipidura_cyaniceps 	2		2 2					
Rhipidura_leucophrys 	0		Rhipidura_leucophrys 	1		0 1					
Rhipidura_leucothorax 	1		Rhipidura_leucothorax 	1		1 1					
Rhipidura_nigritorquis 	0		Rhipidura_nigritorquis 	2		0 2					
Rhipidura_nigrocinnamomea 	2		Rhipidura_nigrocinnamomea 	2		2 2					
Rhipidura_perlata 	1		Rhipidura_perlata 	2		1 2					
Rhipidura_personata 	2		Rhipidura_personata 	1		2 1					
Rhipidura_phasiana 	0		Rhipidura_phasiana 	1		0 1					
Rhipidura_rennelliana 	2		Rhipidura_rennelliana 	1		2 1					
Rhipidura_rufidorsa 	1		Rhipidura_rufidorsa 	1		1 1					
Rhipidura_rufifrons 	0		Rhipidura_rufifrons 	1		0 1					
Rhipidura_rufiventris 	0		Rhipidura_rufiventris 	1		0 1					
Rhipidura_samarensis 	2		Rhipidura_samarensis 	2		2 2					
Rhipidura_sauli 	2		Rhipidura_sauli 	2		2 2					
Rhipidura_superciliaris 	2		Rhipidura_superciliaris 	2		2 2					
Rhipidura_superflua 	2		Rhipidura_superflua 	1		2 1					
Rhipidura_tenebrosa 	2		Rhipidura_tenebrosa 	1		2 1					
Rhipidura_teysmanni 	2		Rhipidura_teysmanni 	1		2 1					
Rhipidura_hyperythra 	1		Rhipidura_hyperythra 	1		1 1					
rhipidura_javanica_17717 	0		rhipidura_javanica_17717 	2		0 2					
Rhipidura_threnothorax 	1		Rhipidura_threnothorax 	1		1 1					
Artamella_viridis 	2		Artamella_viridis 	2		2 2					
Calicalicus_madagascariensis 	2		Calicalicus_madagascariensis 	2		2 2					
Calicalicus_rufocarpalis 	2		Calicalicus_rufocarpalis 	2		2 2					
Bias_musicus 	1		Bias_musicus 	2		1 2					
Cyanolanius_madagascarinus 	2		Cyanolanius_madagascarinus 	2		2 2					
Euryceros_prevostii 	2		Euryceros_prevostii 	2		2 2					
Falculea_palliata 	2		Falculea_palliata 	2		2 2					
Schetba_rufa 	2		Schetba_rufa 	2		2 2					
tephrodornis_virgatus_30886 	1		tephrodornis_virgatus_30886 	2		1 2					
Hypositta_corallirostris 	2		Hypositta_corallirostris 	2		2 2					
Leptopterus_chabert 	2		Leptopterus_chabert 	2		2 2					
Megabyas_flammulatus 	1		Megabyas_flammulatus 	2		1 2					
mystacornis_crossleyi_345860 	2		mystacornis_crossleyi_345860 	2		2 2					
Newtonia_amphichroa 	2		Newtonia_amphichroa 	2		2 2					
Newtonia_archboldi 	2		Newtonia_archboldi 	2		2 2					
Newtonia_brunneicauda 	2		Newtonia_brunneicauda 	2		2 2					
Newtonia_fanovanae 	2		Newtonia_fanovanae 	2		2 2					
Oriolia_bernieri 	2		Oriolia_bernieri 	2		2 2					
Pseudobias_wardi 	2		Pseudobias_wardi 	2		2 2					
Tephrodornis_pondicerianus 	1		Tephrodornis_pondicerianus 	2		1 2					
Hemipus_hirundinaceus 	1		Hemipus_hirundinaceus 	2		1 2					
hemipus_picatus_23303 	1		hemipus_picatus_23303 	2		1 2					
philentoma_pyrhoptera_12323 	1		philentoma_pyrhoptera_12323 	2		1 2					
Philentoma_velata 	1		Philentoma_velata 	2		1 2					
Tylas_eduardi 	2		Tylas_eduardi 	2		2 2					
Vanga_curvirostris 	2		Vanga_curvirostris 	2		2 2					
Xenopirostris_damii 	2		Xenopirostris_damii 	2		2 2					
Xenopirostris_polleni 	2		Xenopirostris_polleni 	2		2 2					
Xenopirostris_xenopirostris 	2		Xenopirostris_xenopirostris 	2		2 2					
Cyclarhis_gujanensis 	1		Cyclarhis_gujanensis 	2		1 2					
Cyclarhis_nigrirostris 	1		Cyclarhis_nigrirostris 	2		1 2					
Pteruthius_xanthochlorus 	1		Pteruthius_xanthochlorus 	2		1 2					
erpornis_zantholeuca_27942 	1		erpornis_zantholeuca_27942 	2		1 2					
Hylophilus_sclateri 	1		Hylophilus_sclateri 	2		1 2					
Hylophilus_semibrunneus 	1		Hylophilus_semibrunneus 	2		1 2					
Hylophilus_semicinereus 	1		Hylophilus_semicinereus 	2		1 2					
Hylophilus_thoracicus 	1		Hylophilus_thoracicus 	2		1 2					
Pteruthius_validirostris 	1		Pteruthius_validirostris 	2		1 2					
Pteruthius_melanotis 	1		Pteruthius_melanotis 	2		1 2					
Pteruthius_rufiventer 	1		Pteruthius_rufiventer 	2		1 2					
Pteruthius_aenobarbus 	1		Pteruthius_aenobarbus 	2		1 2					
Hylophilus_poicilotis 	1		Hylophilus_poicilotis 	2		1 2					
pteruthius_flaviscapis_17806 	1		pteruthius_flaviscapis_17806 	2		1 2					
Hylophilus_aurantiifrons 	1		Hylophilus_aurantiifrons 	2		1 2					
Hylophilus_brunneiceps 	1		Hylophilus_brunneiceps 	2		1 2					
Hylophilus_decurtatus 	1		Hylophilus_decurtatus 	2		1 2					
Hylophilus_flavipes 	1		Hylophilus_flavipes 	2		1 2					
Hylophilus_hypoxanthus 	1		Hylophilus_hypoxanthus 	2		1 2					
Hylophilus_muscicapinus 	1		Hylophilus_muscicapinus 	2		1 2					
Hylophilus_ochraceiceps 	1		Hylophilus_ochraceiceps 	2		1 2					
Hylophilus_olivaceus 	1		Hylophilus_olivaceus 	2		1 2					
Hylophilus_pectoralis 	1		Hylophilus_pectoralis 	2		1 2					
Vireo_atricapilla 	1		Vireo_atricapilla 	2		1 2					
Vireo_bairdi 	1		Vireo_bairdi 	2		1 2					
Vireo_bellii 	1		Vireo_bellii 	2		1 2					
Vireo_brevipennis 	1		Vireo_brevipennis 	2		1 2					
Vireo_carmioli 	1		Vireo_carmioli 	2		1 2					
Vireo_cassinii 	1		Vireo_cassinii 	2		1 2					
Vireo_flavifrons 	1		Vireo_flavifrons 	2		1 2					
Vireo_flavoviridis 	1		Vireo_flavoviridis 	2		1 2					
Vireo_gilvus 	1		Vireo_gilvus 	2		1 2					
Vireo_griseus 	1		Vireo_griseus 	2		1 2					
Vireo_huttoni 	1		Vireo_huttoni 	2		1 2					
Vireo_hypochryseus 	1		Vireo_hypochryseus 	2		1 2					
Vireo_leucophrys 	1		Vireo_leucophrys 	2		1 2					
Vireo_olivaceus 	1		Vireo_olivaceus 	2		1 2					
Vireo_pallens 	1		Vireo_pallens 	2		1 2					
Vireo_philadelphicus 	1		Vireo_philadelphicus 	2		1 2					
Vireo_plumbeus 	1		Vireo_plumbeus 	2		1 2					
vireo_solitarius_25186	1		vireo_solitarius_25186	2		1 2					
Vireo_vicinior 	1		Vireo_vicinior 	2		1 2					
Vireolanius_eximius 	1		Vireolanius_eximius 	2		1 2					
Vireolanius_leucotis 	1		Vireolanius_leucotis 	2		1 2					
Vireolanius_melitophrys 	1		Vireolanius_melitophrys 	2		1 2					
Vireolanius_pulchellus 	1		Vireolanius_pulchellus 	2		1 2					
Vireo_altiloquus 	0		Vireo_altiloquus 	2		0 2					
Vireo_crassirostris 	2		Vireo_crassirostris 	2		2 2					
Vireo_latimeri 	2		Vireo_latimeri 	2		2 2					
Vireo_magister 	0		Vireo_magister 	2		0 2					
Vireo_modestus 	2		Vireo_modestus 	2		2 2					
Vireo_nanus 	2		Vireo_nanus 	2		2 2					
Vireo_osburni 	2		Vireo_osburni 	2		2 2					
