Iteration	Posterior	Likelihood	Prior	anagenetic_dispersal_21	anagenetic_dispersal_31	anagenetic_dispersal_54	anagenetic_dispersal_64	extinction_rates[1]	extinction_rates[2]	extinction_rates[3]	extinction_rates[4]	extinction_rates[5]	extinction_rates[6]	hidden_rate_1	hidden_rate_2	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	root_frequencies[5]	root_frequencies[6]	speciation_allopatry	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	speciation_rates[4]	speciation_rates[5]	speciation_rates[6]	speciation_rates[7]	speciation_rates[8]	speciation_rates[9]	speciation_rates[10]	speciation_rates[11]	speciation_rates[12]	speciation_rates[13]	speciation_rates[14]	speciation_rates[15]	speciation_rates[16]	speciation_wide_sympatry	total_extinction	total_speciation
82275	-5789.639	-5786.648	-2.991009	0.01168718	0.06230219	0.04319325	1.367623	0	0.0230059	0.0435941	0	0.456973	0.638297	0.01294183	3.203385	0.092578	0.339849	0.259429	0.127022	0.113502	0.0676197	0.1467995	0.179529	0.179529	0.179529	0.179529	0.179529	0.179529	0.0733997	0.0733997	0.179529	0.179529	0.179529	0.179529	0.179529	0.179529	0.0733997	0.0733997	0.3590572	1.16187	2.447942
82350	-5785.23	-5788.031	2.80114	0.008536931	0.08043827	0.09983344	0.1328274	0	0.0291744	0.0308048	0	0.304823	0.34471	0.02574542	3.152826	0.369456	0.174569	0.0240449	0.123656	0.181276	0.126998	0.1879908	0.193405	0.193405	0.193405	0.193405	0.193405	0.193405	0.0939954	0.0939954	0.193405	0.193405	0.193405	0.193405	0.193405	0.193405	0.0939954	0.0939954	0.3868092	0.709512	2.696837
82425	-5786.994	-5783.729	-3.26437	0.01227092	0.07440234	0.3157795	0.7198721	0	0.030728	0.0782107	0	0.0497886	0.146596	0.01236434	10.43183	0.241089	0.0658958	0.000680017	0.0770718	0.300804	0.31446	0.06946019	0.192933	0.192933	0.192933	0.192933	0.192933	0.192933	0.0347301	0.0347301	0.192933	0.192933	0.192933	0.192933	0.192933	0.192933	0.0347301	0.0347301	0.3858665	0.3053229	2.454119
82500	-5783.613	-5783.275	-0.3382553	0.01390992	0.08020017	0.2026399	0.205069	0	0.0254287	0.0521175	0	0.273116	0.0874473	0.01211131	8.083177	0.331907	0.0953427	0.0176522	0.376586	0.0829852	0.0955272	0.1561764	0.187547	0.187547	0.187547	0.187547	0.187547	0.187547	0.0780882	0.0780882	0.187547	0.187547	0.187547	0.187547	0.187547	0.187547	0.0780882	0.0780882	0.3750939	0.4381096	2.562916
82575	-5792.143	-5790.541	-1.601442	0.007690258	0.101573	0.3735441	0.1776957	0	0.0257233	0.102314	0	0.686174	0.0372204	0.03170068	6.720115	0.0252522	0.0283054	0.130036	0.314796	0.178153	0.323458	0.06835257	0.199283	0.199283	0.199283	0.199283	0.199283	0.199283	0.0341763	0.0341763	0.199283	0.199283	0.199283	0.199283	0.199283	0.199283	0.0341763	0.0341763	0.3985654	0.8514311	2.528098
82650	-5789.623	-5785.91	-3.713547	0.008713584	0.1118249	1.327151	0.5224685	0	0.0500141	0.0511711	0	0.520145	0.280071	0.008314856	2.994083	0.157248	0.067137	0.0760703	0.352694	0.0404972	0.306353	0.1037434	0.200809	0.200809	0.200809	0.200809	0.200809	0.200809	0.0518717	0.0518717	0.200809	0.200809	0.200809	0.200809	0.200809	0.200809	0.0518717	0.0518717	0.4016176	0.9014005	2.617192
82725	-5785.821	-5788.283	2.462542	0.01733183	0.07677761	0.04407186	0.4253018	0	0.0305013	0.0759502	0	0.316464	0.177107	0.02212444	4.516366	0.418926	0.173181	0.0988937	0.121976	0.0981616	0.0888619	0.03835859	0.189662	0.189662	0.189662	0.189662	0.189662	0.189662	0.0191793	0.0191793	0.189662	0.189662	0.189662	0.189662	0.189662	0.189662	0.0191793	0.0191793	0.3793248	0.6000225	2.352666
82800	-5790.651	-5788.75	-1.901748	0.01742095	0.04946455	0.1764167	0.456419	0	0.0336426	0.0230192	0	0.139054	0.188703	0.0790028	13.87461	0.0579113	0.435549	0.155535	0.148707	0.200749	0.00154977	0.1356748	0.20191	0.20191	0.20191	0.20191	0.20191	0.20191	0.0678374	0.0678374	0.20191	0.20191	0.20191	0.20191	0.20191	0.20191	0.0678374	0.0678374	0.4038207	0.3844181	2.694274
82875	-5788.588	-5786.404	-2.184647	0.01808107	0.07590431	0.116257	0.2366544	0	0.0464692	0.0904428	0	0.756218	0.321846	0.01122511	7.89904	0.167079	0.383797	0.0236671	0.355527	0.0686713	0.00125808	0.02908117	0.206092	0.206092	0.206092	0.206092	0.206092	0.206092	0.0145406	0.0145406	0.206092	0.206092	0.206092	0.206092	0.206092	0.206092	0.0145406	0.0145406	0.4121837	1.214975	2.531264
82950	-5789.665	-5788.707	-0.9581009	0.006544083	0.09175529	0.3195281	0.06204646	0	0.0304612	0.0646408	0	0.495866	0.354609	0.02643394	5.910178	0.189788	0.0381497	0.0742375	0.107578	0.588607	0.0016397	0.133153	0.175748	0.175748	0.175748	0.175748	0.175748	0.175748	0.0665765	0.0665765	0.175748	0.175748	0.175748	0.175748	0.175748	0.175748	0.0665765	0.0665765	0.3514959	0.9455766	2.375281
83025	-5789.738	-5788.384	-1.353813	0.01259584	0.09526394	1.838788	0.1025783	0	0.0895386	0.0680607	0	0.172028	0.120136	0.003404214	2.012156	0.206597	0.409307	0.107077	0.166704	0.110086	0.000229279	0.1233173	0.220496	0.220496	0.220496	0.220496	0.220496	0.220496	0.0616587	0.0616587	0.220496	0.220496	0.220496	0.220496	0.220496	0.220496	0.0616587	0.0616587	0.4409911	0.4497638	2.892581
83100	-5786.429	-5788.994	2.564825	0.01275391	0.09382409	0.0745428	0.4676793	0	0.0100943	0.0459711	0	0.161286	0.143557	0.01275292	2.141188	0.0402323	0.67085	0.0641778	0.0325973	0.192098	4.48333e-05	0.1790281	0.198613	0.198613	0.198613	0.198613	0.198613	0.198613	0.089514	0.089514	0.198613	0.198613	0.198613	0.198613	0.198613	0.198613	0.089514	0.089514	0.3972269	0.3609083	2.741418
83175	-5788.84	-5786.813	-2.026885	0.007542778	0.0632755	0.6407832	0.2154815	0	0.0392969	0.0519147	0	0.17857	0.088489	0.004853833	4.213027	0.128698	0.166039	0.152724	0.33866	0.213693	0.000184887	0.1008485	0.209316	0.209316	0.209316	0.209316	0.209316	0.209316	0.0504243	0.0504243	0.209316	0.209316	0.209316	0.209316	0.209316	0.209316	0.0504243	0.0504243	0.4186315	0.3582704	2.713486
83250	-5793.124	-5784.628	-8.4956	0.01076328	0.08687053	0.9346087	0.2371579	0	0.0606085	0.0352274	0	1.23903	0.22757	0.005196881	8.433371	0.0233849	0.348226	0.0623461	0.44263	0.123283	0.00012981	0.1200549	0.192597	0.192597	0.192597	0.192597	0.192597	0.192597	0.0600274	0.0600274	0.192597	0.192597	0.192597	0.192597	0.192597	0.192597	0.0600274	0.0600274	0.3851946	1.562435	2.551278
83325	-5785.95	-5785.6	-0.3497239	0.009682583	0.06848196	0.2486001	0.6827125	0	0.0421293	0.0621593	0	0.239437	0.141407	0.01310159	5.313765	0.0432258	0.0437039	0.339804	0.0579915	0.515156	0.000118773	0.06937441	0.188913	0.188913	0.188913	0.188913	0.188913	0.188913	0.0346872	0.0346872	0.188913	0.188913	0.188913	0.188913	0.188913	0.188913	0.0346872	0.0346872	0.3778267	0.4851323	2.405709
83400	-5788.205	-5788.011	-0.1932378	0.01157178	0.0682912	0.2660051	0.3365806	0	0.0263385	0.0476243	0	1.09475	0.848937	0.01960169	1.799467	0.323538	0.309549	0.0951995	0.0448862	0.225412	0.00141527	0.1349271	0.199583	0.199583	0.199583	0.199583	0.199583	0.199583	0.0674636	0.0674636	0.199583	0.199583	0.199583	0.199583	0.199583	0.199583	0.0674636	0.0674636	0.3991666	2.017647	2.664854
83475	-5784.983	-5782.817	-2.16549	0.007832424	0.09401355	1.346781	0.51849	0	0.0469328	0.0568501	0	0.0933624	0.208115	0.005593758	2.341725	0.0911214	0.0615842	0.103519	0.092768	0.541671	0.109336	0.09171831	0.195596	0.195596	0.195596	0.195596	0.195596	0.195596	0.0458592	0.0458592	0.195596	0.195596	0.195596	0.195596	0.195596	0.195596	0.0458592	0.0458592	0.3911914	0.4052601	2.530585
83550	-5786.231	-5786.118	-0.1124185	0.01310232	0.07302257	0.05894657	0.4058827	0	0.0265737	0.0875576	0	0.813254	0.0969171	0.01491229	4.892354	0.232214	0.0228518	0.151411	0.408285	0.128831	0.0564075	0.1229303	0.200296	0.200296	0.200296	0.200296	0.200296	0.200296	0.0614651	0.0614651	0.200296	0.200296	0.200296	0.200296	0.200296	0.200296	0.0614651	0.0614651	0.4005929	1.024302	2.649418
83625	-5789.866	-5784.014	-5.85202	0.01310232	0.06211387	0.08920789	0.4486245	0	0.0382303	0.0450941	0	0.691303	0.238533	0.01167649	15.35808	0.144884	0.0754381	0.26188	0.122385	0.267715	0.127697	0.1028775	0.191324	0.191324	0.191324	0.191324	0.191324	0.191324	0.0514387	0.0514387	0.191324	0.191324	0.191324	0.191324	0.191324	0.191324	0.0514387	0.0514387	0.3826479	1.01316	2.501642
83700	-5796.121	-5789.152	-6.968939	0.003993679	0.08773881	1.140501	0.1647201	0	0.0476703	0.0883999	0	0.676089	0.0595049	0.05354296	12.00619	0.170595	0.102199	0.194556	0.145603	0.251753	0.135294	0.1276346	0.189729	0.189729	0.189729	0.189729	0.189729	0.189729	0.0638173	0.0638173	0.189729	0.189729	0.189729	0.189729	0.189729	0.189729	0.0638173	0.0638173	0.3794588	0.8716643	2.532022
83775	-5786.339	-5790.723	4.383935	0.009110467	0.07352285	0.6930443	0.4915559	0	0.053392	0.075884	0	0.158451	0.14064	0.007353178	0.5610318	0.134671	0.407081	0.0837431	0.193463	0.0396983	0.141343	0.05837696	0.201415	0.201415	0.201415	0.201415	0.201415	0.201415	0.0291885	0.0291885	0.201415	0.201415	0.201415	0.201415	0.201415	0.201415	0.0291885	0.0291885	0.4028308	0.4283676	2.533739
83850	-5793.427	-5789.753	-3.673903	0.00883093	0.08913079	0.1688892	1.90533	0	0.0507975	0.0849997	0	0.173302	0.766409	0.03798573	5.600656	0.0277152	0.195737	0.520735	0.115385	0.0142178	0.12621	0.1576505	0.20403	0.20403	0.20403	0.20403	0.20403	0.20403	0.0788253	0.0788253	0.20403	0.20403	0.20403	0.20403	0.20403	0.20403	0.0788253	0.0788253	0.4080601	1.075508	2.763662
83925	-5784.614	-5785.473	0.8595352	0.007725043	0.07664038	0.4479684	0.1162476	0	0.0267353	0.0768137	0	0.0691088	0.303434	0.009361965	3.388834	0.0142561	0.0710374	0.022138	0.254137	0.243417	0.395014	0.1117695	0.197717	0.197717	0.197717	0.197717	0.197717	0.197717	0.0558847	0.0558847	0.197717	0.197717	0.197717	0.197717	0.197717	0.197717	0.0558847	0.0558847	0.3954337	0.4760916	2.596141
84000	-5789.716	-5785.863	-3.853595	0.01509152	0.0759912	0.9899898	0.5373179	0	0.0451804	0.0562136	0	0.842624	0.0962331	0.01875528	6.821043	0.10637	0.135755	0.410493	0.0424432	0.0299564	0.274983	0.09239903	0.201326	0.201326	0.201326	0.201326	0.201326	0.201326	0.0461995	0.0461995	0.201326	0.201326	0.201326	0.201326	0.201326	0.201326	0.0461995	0.0461995	0.4026514	1.040251	2.600706
84075	-5784.786	-5785.765	0.9796511	0.01466235	0.08075584	0.2639921	0.06203142	0	0.00385092	0.033135	0	0.0247999	0.174259	0.007506278	1.124498	0.0264796	0.0952792	0.0931791	0.127528	0.631208	0.0263257	0.1482577	0.18532	0.18532	0.18532	0.18532	0.18532	0.18532	0.0741289	0.0741289	0.18532	0.18532	0.18532	0.18532	0.18532	0.18532	0.0741289	0.0741289	0.3706402	0.236045	2.520357
84150	-5785.319	-5785.463	0.1437266	0.01150455	0.09468282	0.8128971	0.07186115	0	0.0293368	0.0190584	0	0.0894892	0.622552	0.008780679	1.835599	0.328683	0.222299	0.0188309	0.116642	0.203079	0.110467	0.1834201	0.193946	0.193946	0.193946	0.193946	0.193946	0.193946	0.09171	0.09171	0.193946	0.193946	0.193946	0.193946	0.193946	0.193946	0.09171	0.09171	0.3878913	0.7604365	2.694188
84225	-5784.385	-5784.58	0.1946266	0.01378308	0.08471939	0.08787484	0.0485581	0	0.0411951	0.057006	0	0.110548	0.981057	0.0176246	6.350899	0.271333	0.0650219	0.458871	0.180077	0.0037755	0.0209216	0.06655857	0.19878	0.19878	0.19878	0.19878	0.19878	0.19878	0.0332793	0.0332793	0.19878	0.19878	0.19878	0.19878	0.19878	0.19878	0.0332793	0.0332793	0.3975597	1.189806	2.518475
84300	-5795.421	-5787.72	-7.701001	0.009080599	0.08154368	2.161776	3.40605	0	0.0678881	0.0710038	0	0.658702	0.324989	0.007295411	1.064523	0.161567	0.0428903	0.0121853	0.0367211	0.00346858	0.743168	0.1276127	0.188158	0.188158	0.188158	0.188158	0.188158	0.188158	0.0638064	0.0638064	0.188158	0.188158	0.188158	0.188158	0.188158	0.188158	0.0638064	0.0638064	0.3763156	1.122583	2.513119
84375	-5794.866	-5789.299	-5.56676	0.02171115	0.0728684	0.5761778	0.4874795	0	0.0190736	0.0219051	0	0.0519044	1.99695	0.005809687	3.105451	0.748504	0.0286193	0.0244051	0.114698	0.00988834	0.0738851	0.09639065	0.201597	0.201597	0.201597	0.201597	0.201597	0.201597	0.0481953	0.0481953	0.201597	0.201597	0.201597	0.201597	0.201597	0.201597	0.0481953	0.0481953	0.4031934	2.089829	2.611942
84450	-5786.176	-5786.744	0.5672526	0.01326058	0.07508739	1.132673	0.1258102	0	0.0443182	0.0496436	0	0.172922	0.461953	0.008766474	2.385523	0.157067	0.00794446	0.100151	0.0289284	0.0190494	0.68686	0.0980132	0.207067	0.207067	0.207067	0.207067	0.207067	0.207067	0.0490066	0.0490066	0.207067	0.207067	0.207067	0.207067	0.207067	0.207067	0.0490066	0.0490066	0.4141334	0.7288369	2.680827
84525	-5786.974	-5783.986	-2.987624	0.009114792	0.08961149	0.199254	1.02136	0	0.0318249	0.0667126	0	0.169562	0.254205	0.005574741	4.457321	0.0695172	0.0401596	0.203883	0.161728	0.133903	0.390808	0.04724679	0.189399	0.189399	0.189399	0.189399	0.189399	0.189399	0.0236234	0.0236234	0.189399	0.189399	0.189399	0.189399	0.189399	0.189399	0.0236234	0.0236234	0.3787974	0.5223047	2.367278
84600	-5789.277	-5786.485	-2.792139	0.009099309	0.08779141	0.5647514	0.5997092	0	0.0517986	0.0648547	0	0.840014	0.279332	0.01331843	3.966205	0.113529	0.472315	0.127198	0.00183767	0.261894	0.0232259	0.1395324	0.191347	0.191347	0.191347	0.191347	0.191347	0.191347	0.0697662	0.0697662	0.191347	0.191347	0.191347	0.191347	0.191347	0.191347	0.0697662	0.0697662	0.3826941	1.235999	2.575229
84675	-5791.942	-5790.268	-1.674225	0.02342772	0.04510187	0.3447457	0.7602024	0	0.0112961	0.0490937	0	0.0152186	0.0622886	0.03228096	6.015193	0.0129677	0.365762	0.0800389	0.391685	0.0887462	0.0608008	0.09962471	0.187585	0.187585	0.187585	0.187585	0.187585	0.187585	0.0498124	0.0498124	0.187585	0.187585	0.187585	0.187585	0.187585	0.187585	0.0498124	0.0498124	0.3751704	0.137897	2.450272
84750	-5789.656	-5785.668	-3.988239	0.01257122	0.06973716	0.07988658	0.3626375	0	0.0269715	0.0148519	0	0.576983	0.542392	0.01999266	7.3882	0.369357	0.111204	0.0365192	0.168351	0.11592	0.198648	0.1882886	0.201748	0.201748	0.201748	0.201748	0.201748	0.201748	0.0941443	0.0941443	0.201748	0.201748	0.201748	0.201748	0.201748	0.201748	0.0941443	0.0941443	0.4034966	1.161199	2.797557
84825	-5788.199	-5786.312	-1.88697	0.01642568	0.06001185	0.1725301	0.1809527	0	0.0194389	0.0317033	0	2.92278	0.114935	0.01384886	3.004766	0.21285	0.343351	0.166014	0.0544531	0.11468	0.108652	0.08660729	0.202269	0.202269	0.202269	0.202269	0.202269	0.202269	0.0433036	0.0433036	0.202269	0.202269	0.202269	0.202269	0.202269	0.202269	0.0433036	0.0433036	0.4045376	3.088853	2.60044
84900	-5787.851	-5786.562	-1.289386	0.00929368	0.09425758	0.3253825	0.514918	0	0.0610619	0.0278271	0	0.0347944	0.370535	0.02028484	6.096859	0.160136	0.250194	0.250178	0.229033	0.0471104	0.0633485	0.09619639	0.194387	0.194387	0.194387	0.194387	0.194387	0.194387	0.0480982	0.0480982	0.194387	0.194387	0.194387	0.194387	0.194387	0.194387	0.0480982	0.0480982	0.388775	0.4942185	2.525043
84975	-5784.32	-5784.848	0.5283724	0.01121186	0.07590151	0.1830477	0.292096	0	0.0390319	0.0404411	0	0.647874	0.43495	0.00723466	2.18274	0.220298	0.299047	0.147183	0.19397	0.074302	0.0652	0.07720416	0.204708	0.204708	0.204708	0.204708	0.204708	0.204708	0.0386021	0.0386021	0.204708	0.204708	0.204708	0.204708	0.204708	0.204708	0.0386021	0.0386021	0.4094167	1.162297	2.610908
85050	-5783.843	-5785.923	2.08035	0.00900518	0.08140444	0.02761798	0.607063	0	0.0528181	0.0583085	0	0.0385166	0.088555	0.008353511	2.285599	0.228863	0.0381134	0.011999	0.0349335	0.0268935	0.659197	0.07940078	0.209569	0.209569	0.209569	0.209569	0.209569	0.209569	0.0397004	0.0397004	0.209569	0.209569	0.209569	0.209569	0.209569	0.209569	0.0397004	0.0397004	0.419138	0.2381983	2.67363
85125	-5783.034	-5787.829	4.794636	0.00866018	0.1146966	0.04352212	0.1870198	0	0.0683241	0.0707578	0	0.13501	0.102064	0.005844582	1.420763	0.116154	0.0274652	0.0274898	0.174734	0.456096	0.198062	0.1446692	0.204904	0.204904	0.204904	0.204904	0.204904	0.204904	0.0723346	0.0723346	0.204904	0.204904	0.204904	0.204904	0.204904	0.204904	0.0723346	0.0723346	0.4098075	0.376156	2.748183
85200	-5790.489	-5787.242	-3.246708	0.009272363	0.05769905	0.8635804	3.44433	0	0.0731975	0.0644477	0	0.132446	0.397392	0.009695499	1.130109	0.220762	0.0915139	0.0153935	0.0155166	0.394385	0.262429	0.1164029	0.215462	0.215462	0.215462	0.215462	0.215462	0.215462	0.0582014	0.0582014	0.215462	0.215462	0.215462	0.215462	0.215462	0.215462	0.0582014	0.0582014	0.4309244	0.6674831	2.818352
85275	-5788.306	-5785.977	-2.329704	0.0107128	0.08974861	0.8638525	0.4793159	0	0.0386468	0.0709405	0	0.25932	0.216273	0.009983618	4.940721	0.210453	0.00693412	0.106851	0.00117571	0.0244797	0.650106	0.04638195	0.184991	0.184991	0.184991	0.184991	0.184991	0.184991	0.023191	0.023191	0.184991	0.184991	0.184991	0.184991	0.184991	0.184991	0.023191	0.023191	0.3699815	0.5851795	2.312653
85350	-5785.385	-5787.457	2.071807	0.01517286	0.05778732	0.5664787	0.1608843	0	0.0467481	0.0926148	0	0.0594624	0.294545	0.005371176	2.26824	0.108727	0.00833835	0.0396552	0.00141381	0.307166	0.5347	0.07322732	0.207295	0.207295	0.207295	0.207295	0.207295	0.207295	0.0366137	0.0366137	0.207295	0.207295	0.207295	0.207295	0.207295	0.207295	0.0366137	0.0366137	0.4145896	0.4933701	2.633992
85425	-5782.342	-5786.151	3.808509	0.007592591	0.09525013	0.1458802	0.4328481	0	0.0257478	0.0285697	0	0.141639	0.0581105	0.007233392	1.016175	0.143857	0.135266	0.177441	0.360499	0.111029	0.0719082	0.1487916	0.183706	0.183706	0.183706	0.183706	0.183706	0.183706	0.0743958	0.0743958	0.183706	0.183706	0.183706	0.183706	0.183706	0.183706	0.0743958	0.0743958	0.3674121	0.2540669	2.502056
85500	-5783.004	-5785.279	2.275188	0.01461159	0.06584069	0.5245347	0.3180136	0	0.0443634	0.0712372	0	0.0959645	0.365471	0.004306574	1.330366	0.587206	0.0995768	0.171224	0.00845007	0.0693615	0.064181	0.07280458	0.200851	0.200851	0.200851	0.200851	0.200851	0.200851	0.0364023	0.0364023	0.200851	0.200851	0.200851	0.200851	0.200851	0.200851	0.0364023	0.0364023	0.4017022	0.5770362	2.555823
85575	-5783.118	-5788.108	4.990081	0.01647563	0.09055894	0.1605971	0.3888438	0	0.0443723	0.0542792	0	0.218654	0.208256	0.007115336	1.396982	0.0591615	0.161887	0.364557	0.0329692	0.183772	0.197652	0.1104296	0.207379	0.207379	0.207379	0.207379	0.207379	0.207379	0.0552148	0.0552148	0.207379	0.207379	0.207379	0.207379	0.207379	0.207379	0.0552148	0.0552148	0.4147581	0.5255611	2.709408
85650	-5786.003	-5786.593	0.5895581	0.01911682	0.08060688	0.05712482	0.3946988	0	0.0318233	0.0617254	0	0.973137	0.451732	0.01073036	2.742921	0.0191561	0.551011	0.264584	0.12026	0.0202351	0.0247536	0.1029479	0.191183	0.191183	0.191183	0.191183	0.191183	0.191183	0.0514739	0.0514739	0.191183	0.191183	0.191183	0.191183	0.191183	0.191183	0.0514739	0.0514739	0.3823666	1.518418	2.500095
85725	-5786.409	-5785.977	-0.4317117	0.005660418	0.09798274	0.03092676	0.1532472	0	0.0483967	0.0584238	0	0.813456	0.171956	0.0160061	4.257416	0.0947132	0.128194	0.104459	0.371585	0.191059	0.10999	0.07471662	0.187273	0.187273	0.187273	0.187273	0.187273	0.187273	0.0373583	0.0373583	0.187273	0.187273	0.187273	0.187273	0.187273	0.187273	0.0373583	0.0373583	0.3745469	1.092233	2.396715
85800	-5787.674	-5788.543	0.8697561	0.01218405	0.08343879	0.05021136	0.4540834	0	0.0931705	0.084335	0	0.29035	0.152568	0.008007704	4.409529	0.0876723	0.167793	0.0272688	0.576329	0.0336208	0.107316	0.108692	0.215746	0.215746	0.215746	0.215746	0.215746	0.215746	0.054346	0.054346	0.215746	0.215746	0.215746	0.215746	0.215746	0.215746	0.054346	0.054346	0.4314912	0.6204238	2.806332
85875	-5789.894	-5787.531	-2.36255	0.02028566	0.05156646	0.1716608	0.4239182	0	0.0267634	0.064814	0	0.0833162	1.19748	0.001838513	1.370849	0.0258311	0.191256	0.0730659	0.431548	0.0379643	0.240334	0.1409058	0.206388	0.206388	0.206388	0.206388	0.206388	0.206388	0.0704529	0.0704529	0.206388	0.206388	0.206388	0.206388	0.206388	0.206388	0.0704529	0.0704529	0.4127754	1.372369	2.758464
85950	-5784.687	-5788.988	4.301127	0.01304144	0.07866343	0.09047117	0.07680089	0	0.0718367	0.0512616	0	0.445323	0.156756	0.009677858	2.374983	0.0374924	0.437235	0.135268	0.324812	0.0319691	0.0332229	0.165118	0.20465	0.20465	0.20465	0.20465	0.20465	0.20465	0.082559	0.082559	0.20465	0.20465	0.20465	0.20465	0.20465	0.20465	0.082559	0.082559	0.4092991	0.7251772	2.786031
86025	-5784.231	-5788.811	4.580292	0.01906196	0.06719217	0.07456494	0.3548294	0	0.0190285	0.0502996	0	0.0541971	0.246064	0.01993636	2.949381	0.231166	0.216516	0.151302	0.268878	0.0510689	0.0810698	0.1147899	0.180019	0.180019	0.180019	0.180019	0.180019	0.180019	0.057395	0.057395	0.180019	0.180019	0.180019	0.180019	0.180019	0.180019	0.057395	0.057395	0.3600386	0.3695893	2.389811
86100	-5782.453	-5786.565	4.112656	0.009619103	0.0976029	0.1497157	0.202787	0	0.0657606	0.063309	0	0.214665	0.45282	0.005147132	1.015371	0.248376	0.0522386	0.00764694	0.209493	0.443839	0.0384065	0.09467398	0.19644	0.19644	0.19644	0.19644	0.19644	0.19644	0.047337	0.047337	0.19644	0.19644	0.19644	0.19644	0.19644	0.19644	0.047337	0.047337	0.3928804	0.7965546	2.546631
86175	-5786.286	-5787.204	0.9177113	0.01441678	0.08419763	0.2015298	0.4215619	0	0.0304024	0.0615228	0	0.620847	0.802132	0.005794215	0.9466393	0.0731831	0.269527	0.0784114	0.314483	0.193734	0.0706605	0.1588246	0.207566	0.207566	0.207566	0.207566	0.207566	0.207566	0.0794123	0.0794123	0.207566	0.207566	0.207566	0.207566	0.207566	0.207566	0.0794123	0.0794123	0.4151325	1.514903	2.808444
86250	-5781.439	-5785.448	4.00853	0.01398651	0.06988698	0.3491524	0.1176991	0	0.0455865	0.0676141	0	0.115291	0.270895	0.002667922	0.6960167	0.117516	0.0745915	0.238102	0.41779	0.140146	0.0118539	0.1180826	0.197464	0.197464	0.197464	0.197464	0.197464	0.197464	0.0590413	0.0590413	0.197464	0.197464	0.197464	0.197464	0.197464	0.197464	0.0590413	0.0590413	0.3949284	0.4993871	2.605736
86325	-5783.182	-5788.821	5.638664	0.01269386	0.08371841	0.1017701	0.1000366	0	0.0479152	0.0694324	0	0.244688	0.0776274	0.01781064	2.931148	0.214955	0.268491	0.169613	0.0681182	0.215238	0.0635852	0.05764202	0.215075	0.215075	0.215075	0.215075	0.215075	0.215075	0.028821	0.028821	0.215075	0.215075	0.215075	0.215075	0.215075	0.215075	0.028821	0.028821	0.430151	0.4396632	2.69619
86400	-5784.628	-5785.916	1.287722	0.01555046	0.06706259	0.04547581	0.1994807	0	0.0136006	0.0578436	0	0.379221	0.442436	0.008036519	2.375629	0.0472126	0.0229286	0.414962	0.223043	0.101676	0.190178	0.05882187	0.193217	0.193217	0.193217	0.193217	0.193217	0.193217	0.0294109	0.0294109	0.193217	0.193217	0.193217	0.193217	0.193217	0.193217	0.0294109	0.0294109	0.386435	0.893101	2.436254
86475	-5786.084	-5787.765	1.681095	0.01249962	0.08173861	0.08842562	0.1520829	0	0.0505595	0.0665262	0	0.294788	0.852856	0.02599749	4.666345	0.234594	0.268277	0.291867	0.0816151	0.123131	0.000516374	0.1184356	0.192021	0.192021	0.192021	0.192021	0.192021	0.192021	0.0592178	0.0592178	0.192021	0.192021	0.192021	0.192021	0.192021	0.192021	0.0592178	0.0592178	0.3840413	1.26473	2.541119
86550	-5785.716	-5788.208	2.492054	0.02242542	0.06829132	0.205026	0.1212248	0	0.0183972	0.0531092	0	0.283724	0.1595	0.025265	6.287525	0.0758629	0.06116	0.233929	0.339478	0.286064	0.00350574	0.08825037	0.187057	0.187057	0.187057	0.187057	0.187057	0.187057	0.0441252	0.0441252	0.187057	0.187057	0.187057	0.187057	0.187057	0.187057	0.0441252	0.0441252	0.3741146	0.514731	2.421189
86625	-5796.177	-5789.14	-7.03714	0.00628142	0.1245022	0.2121848	0.1954241	0	0.0766017	0.0388886	0	2.37672	1.27193	0.004828327	2.017574	0.0422565	0.223385	0.136872	0.291333	0.297858	0.00829626	0.1694337	0.193433	0.193433	0.193433	0.193433	0.193433	0.193433	0.0847169	0.0847169	0.193433	0.193433	0.193433	0.193433	0.193433	0.193433	0.0847169	0.0847169	0.3868659	3.764146	2.660063
86700	-5786.696	-5784.327	-2.368568	0.009855854	0.08795159	0.1431877	0.2283026	0	0.0327553	0.0205869	0	0.519997	1.31615	0.00326063	1.113275	0.152935	0.020913	0.229458	0.368678	0.223265	0.00475051	0.1151829	0.177207	0.177207	0.177207	0.177207	0.177207	0.177207	0.0575914	0.0575914	0.177207	0.177207	0.177207	0.177207	0.177207	0.177207	0.0575914	0.0575914	0.354414	1.889485	2.35685
86775	-5789.213	-5784.695	-4.517557	0.006877938	0.09036628	0.5510491	0.1668674	0	0.0547732	0.0499369	0	0.429161	1.31132	0.01445966	5.224037	0.203964	0.194455	0.294156	0.0288731	0.270847	0.00770473	0.1243314	0.200943	0.200943	0.200943	0.200943	0.200943	0.200943	0.0621657	0.0621657	0.200943	0.200943	0.200943	0.200943	0.200943	0.200943	0.0621657	0.0621657	0.4018868	1.845194	2.659984
