Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_01	rate_02	rate_03	rate_10	rate_12	rate_13	rate_20	rate_21	rate_23	rate_30	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
750	-5709.99	-5733.81	23.8225	0.25476	0.0238754	0.0168582	0.0296038	-1.36743	-3.73491	-4.08292	-3.51985	-0.720811	-1.96158	-2.24701	-1.51214	0.04879431	0.003815526	0.01395346	0.006589163	0.0002213168	0.0002109369	0.0001226047	0.0001010513	0.002512704	0.007210687	9.515563e-07	0.009156674	0.406256	0.492497	0.0174121	0.0838349	0.486357	0.140636	0.105715	0.220437
800	-5707.66	-5727.69	20.0276	0.290686	0.0203914	0.0187208	0.0175218	-1.23551	-3.89264	-3.97812	-4.04431	-0.680283	-1.89075	-2.09717	-1.40468	0.04841014	0.006828895	0.01438807	0.009820654	0.0008067304	0.0001047781	9.440621e-05	0.0001495084	0.0006598358	0.004256325	0.0001526037	0.008378794	0.619174	0.268821	0.000418843	0.111586	0.506474	0.150958	0.122803	0.245444
850	-5716.84	-5731.95	15.1189	0.296598	0.0172865	0.0259105	0.0197964	-1.21538	-4.05783	-3.65311	-3.92226	-0.616383	-1.9168	-1.62895	-1.47745	0.04239637	0.007910696	0.01783612	0.005475651	0.003359529	0.0001428879	0.0008997828	0.001846571	0.001107922	0.004599056	0.0002454995	0.01292475	0.357925	0.196126	0.000982124	0.444967	0.539894	0.147078	0.196136	0.228218
900	-5715.99	-5732.71	16.725	0.110426	0.0259776	0.0105539	0.0389188	-2.20341	-3.65052	-4.55126	-3.24628	-0.946671	-1.96343	-1.91392	-1.43916	0.05532193	0.009034026	0.009240203	0.008092947	0.0004927042	0.002687173	0.0001217875	0.0003422791	0.0007538672	0.006224127	9.209852e-05	0.007497579	0.0861719	0.524196	0.0138915	0.37574	0.388031	0.140376	0.147502	0.237126
950	-5710.73	-5729.88	19.1544	0.0368133	0.0206923	0.0356621	0.0281298	-3.3019	-3.87799	-3.33367	-3.57092	-0.987473	-1.97444	-1.7895	-1.44772	0.05125355	0.01300609	0.01559082	0.004879751	0.0006471749	0.0002491467	0.0001875425	0.0005146843	0.0002323555	0.003257267	0.0001853397	0.007077345	0.11431	0.393169	0.174514	0.318007	0.372517	0.138839	0.167043	0.235106
1000	-5708.18	-5727.52	19.3406	0.0289422	0.0449903	0.0686205	0.0385513	-3.54245	-3.10131	-2.67916	-3.25577	-1.06816	-1.85044	-1.7825	-1.4363	0.06692239	0.0144308	0.0118292	0.005379595	0.0006864517	0.0002489289	2.10978e-07	0.001270305	6.623187e-05	0.002177519	0.000155962	0.009459607	0.144138	0.163911	0.644864	0.0470866	0.343641	0.157168	0.168218	0.237806
1050	-5703.85	-5732.82	28.9754	0.0816263	0.0392931	0.108687	0.0188388	-2.5056	-3.23671	-2.21928	-3.97184	-0.927505	-1.89037	-1.43653	-1.4803	0.0438296	0.009201919	0.02255372	0.00359835	0.0001452738	0.000111107	6.574104e-07	4.100144e-05	0.0004593019	0.001255528	8.716201e-05	0.01060932	0.357423	0.193597	0.0342509	0.414729	0.39554	0.151016	0.237752	0.227569
1100	-5713.39	-5738.22	24.829	0.172748	0.0568219	0.0381016	0.0427144	-1.75592	-2.86783	-3.2675	-3.15322	-0.826671	-1.72294	-1.99438	-1.42143	0.04527578	0.008097878	0.01806279	0.005391812	0.001204314	0.0005618105	3.004772e-06	0.0002109387	0.0002014769	0.001877421	0.003867281	0.00743432	0.408879	0.0426524	0.536483	0.0119858	0.437503	0.178541	0.136099	0.241369
1150	-5707.87	-5729.33	21.459	0.227554	0.037467	0.0294605	0.0176748	-1.48037	-3.28429	-3.5247	-4.03562	-0.741573	-1.84744	-1.87257	-1.42454	0.04927816	0.007067304	0.01615046	0.006368435	0.0003911204	0.001050879	1.174818e-07	0.0008162862	0.005540987	0.002284461	0.0005568954	0.007213675	0.43084	0.0797102	0.329597	0.159853	0.476364	0.15764	0.153729	0.240618
1200	-5707.25	-5729.07	21.8189	0.196375	0.0912546	0.0282215	0.0167351	-1.62773	-2.3941	-3.56767	-4.09024	-0.863988	-1.59892	-1.96409	-1.49548	0.04448244	0.01107409	0.0179021	0.006647951	0.0001313023	0.0004374479	1.922001e-06	0.0006196128	0.001564793	0.00489908	2.71491e-05	0.0128573	0.257542	0.256138	0.0414459	0.444874	0.421478	0.202115	0.140283	0.224141
